source_series_id,expected_samples,proposed_role,model_policy,reason,remote_url,source_url
GSE103657,586,pediatric_sensitivity,conditional,"출생 및 5세 반복측정이 섞여 있어 동일 아동을 같은 분할에 묶을 수 있을 때만 사용",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE103657.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103657
GSE105018,1658,excluded_single_age,exclude,"모든 표본이 18세이며 쌍둥이 가족 구조가 있어 연령 회귀 학습에 유효한 변이가 없음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE105018.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE105018
GSE147221,679,excluded_disease_mixed,exclude,"조현병 환자와 대조군이 섞여 있고 재분석 파일에 질환 라벨이 없어 건강 대조군만 분리할 수 없음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE147221.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147221
GSE154566,235,excluded_technical_family,exclude,"18세 단일 연령의 일란성 쌍둥이이며 EPIC과 450K 비교 목적의 기술적 의존성이 있음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE154566.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154566
GSE157131,1218,primary_train,include,"인구 기반 말초혈액 코호트로 넓은 성인 연령 범위를 제공",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE157131.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157131
GSE30870,20,primary_train_extreme_age,include,"89세부터 103세의 초고령 구간을 보강하되 작은 코호트이므로 코호트 단위 평가 필요",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE30870.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30870
GSE36054,134,primary_train_pediatric,include,"건강한 소아의 말초혈액으로 성인 중심 데이터의 저연령 구간을 보강",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE36054.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36054
GSE40279,656,primary_train,include,"19세부터 101세의 전체혈액 450K 코호트이며 기존 원자료와 중복 적재하지 않음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE40279.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE40279
GSE41169,95,excluded_disease_mixed,exclude,"조현병 환자와 건강 대조군이 섞여 있고 재분석 파일에 질환 라벨이 없음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE41169.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE41169
GSE42861,689,excluded_disease_mixed,exclude,"류마티스 관절염 환자와 대조군이 섞여 있고 재분석 파일에 질환 라벨이 없음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE42861.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE42861
GSE51032,845,cancer_status_sensitivity,conditional,"암 비발생자와 추적 중 암 발생자가 섞여 있어 원 메타데이터로 비발생자를 분리할 때만 사용",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE51032.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE51032
GSE55763,2639,primary_train_scale_up,include,"대규모 혈액 코호트이며 원자료의 기술 반복 표본은 모델 분할 전에 별도 확인",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE55763.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE55763
GSE64495,113,excluded_disease_mixed,exclude,"중증 발달장애 환자와 대조군이 섞여 있고 재분석 파일에 질환 라벨이 없음",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE64495.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64495
GSE69270,184,primary_train_narrow_age,include,"Young Finns 인구 코호트이며 40대의 좁은 범위는 다른 코호트와 함께 사용",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE69270.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE69270
GSE72680,422,trauma_sensitivity,conditional,"기존 기준 코호트이지만 트라우마 연구 표본이므로 1차 모델과 분리해 민감도 분석에서 영향 확인",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE72680.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72680
GSE72775,335,primary_train,include,"히스패닉과 백인 건강 표본의 전체혈액 코호트로 인구집단 다양성을 보강",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE72775.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72775
GSE73103,355,primary_train_young_adult,include,"건강한 젊은 성인의 전체혈액 코호트로 14세부터 34세 구간을 보강",https://ftp.ncbi.nlm.nih.gov/geo/series/GSE207nnn/GSE207605/suppl/GSE207605_GSE73103.csv.gz,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73103
